customer_id,full_name,date_of_birth,age,gender,email,phone_number,city,state,pincode,occupation,annual_income,account_type,account_number,account_open_date,account_balance,credit_score,credit_card_holder,bank_name,bank_type,bank_hq,bank_established,bank_tier,ifsc_code,swift_code,rbi_license,total_branches,branch_id,relationship_manager,kyc_status
CUST000011,Meera Sharma,11-09-1999,26,Male,meera.sharma91@gmail.com,-7983297401,Ghaziabad,Uttar Pradesh,170674,Software Engineer,2284222,Savings,ACC3208283728,01-03-2015,1687751.51,307,No,Union Bank of India,Public Sector,Mumbai,1919,Tier-1,UBIN0005552,UBININBB,SCB-010,8700,BR0043,RM063,Verified
CUST000012,Neha Kapoor,28-05-1992,34,Male,neha.kapoor13@gmail.com,-9830309279,Hyderabad,Telangana,551989,Accountant,4304956.8,Fixed Deposit,ACC9822598054,14-06-2015,3515601.65,716,Yes,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0008663,SBININBB,SCB-001,22542,BR0004,RM052,Verified
CUST000013,Meera Garcia,22-04-1972,54,Male,meera.garcia55@yahoo.com,-8196342206,Chennai,Tamil Nadu,585100,Teacher,598536,Savings,ACC3363629219,19-04-2014,6808097.39,759,Yes,Bank of Baroda,Public Sector,Vadodara,1908,Tier-1,BARB0001439,BARBINBB,SCB-006,9500,BR0042,RM070,Verified
CUST000014,Aarav Singh,02-12-1964,61,Female,aarav.singh8@yahoo.com,-8627677064,Ahmedabad,Gujarat,380001,Government Employee,2740206.21,Fixed Deposit,ACC6520103410,12-02-2019,2596417.88,518,No,Punjab National Bank,Public Sector,New Delhi,1894,Tier-1,PUNB0006597,PUNBINBB,SCB-004,10000,BR0010,RM025,Verified
CUST000015,Vijay Mehta,23-08-1998,27,Male,vijay.mehta75@rediffmail.com,-9159725833,Delhi,Delhi,994141,Freelancer,1675435.35,Recurring Deposit,ACC1798112150,15-05-2011,1742663.11,358,Yes,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0009142,SBININBB,SCB-001,22542,BR0044,RM031,Verified
CUST000016,Akash Kumar,02-02-1972,54,Female,akash.kumar85@hotmail.com,-9427631064,Ghaziabad,Uttar Pradesh,648177,Accountant,9354897.83,Current,ACC2349409434,26-12-2022,8668168.78,383,No,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0003339,SBININBB,SCB-001,22542,BR0026,RM017,Verified
CUST000017,Rajesh Mishra,05-07-1956,69,Male,rajesh.mishra10@hotmail.com,-7915490704,Lucknow,Uttar Pradesh,630458,Lawyer,1428670.92,Salary,ACC4783282817,18-03-2010,1126110.64,876,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0008755,ICICINBB,SCB-003,6523,BR0024,RM037,Verified
CUST000018,Deepika Mishra,20-02-1977,49,Male,deepika.mishra86@hotmail.com,-8285821839,Vadodara,Gujarat,390001,Doctor,4133796,Current,ACC2135872495,20-09-2023,10596993.55,841,Yes,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0008498,SBININBB,SCB-001,22542,BR0048,RM071,Verified
CUST000019,Ananya Nair,23-11-1968,57,Male,ananya.nair63@outlook.com,-7218179508,Surat,Gujarat,395003,Manager,4304928.63,Salary,ACC1189351213,09-09-2017,3140044.81,570,No,Yes Bank,Private Sector,Mumbai,2004,Tier-2,YESB0009921,YESBINBB,SCB-012,1198,BR0050,RM017,Verified
CUST000020,Suresh Shah,30-06-1999,26,Male,suresh.shah89@yahoo.com,-9343292384,Bhopal,Madhya Pradesh,137778,Accountant,5875194.52,Current,ACC2845919895,05-08-2019,6054707.77,414,Yes,Punjab National Bank,Public Sector,New Delhi,1894,Tier-1,PUNB0000841,PUNBINBB,SCB-004,10000,BR0020,RM047,Verified
CUST000021,Aditya Wilson,05-11-1968,57,Female,aditya.wilson53@hotmail.com,-7663801442,Kanpur,Uttar Pradesh,348237,Businessman,8220311,Current,ACC9080621072,07-08-2015,6761644.82,662,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0003537,ICICINBB,SCB-003,6523,BR0012,RM095,Verified
CUST000022,Meera Garcia,06-04-1972,54,Female,meera.garcia5@rediffmail.com,-7955345446,Indore,Madhya Pradesh,309267,Retired,754373,Current,ACC1957449367,26-12-2015,3114543.14,410,Yes,Indian Bank,Public Sector,Chennai,1907,Tier-2,IDIB0002635,IDIBBINN,SCB-015,6000,BR0026,RM043,Verified
CUST000023,Ramesh Davis,16-01-1975,51,Male,ramesh.davis69@outlook.com,-7118543317,Bangalore,Karnataka,220944,Lawyer,1884250.02,Salary,ACC1164313410,16-11-2017,1791091.39,709,No,Kotak Mahindra Bank,Private Sector,Mumbai,2003,Tier-1,KKBK0007238,KKBKINBB,SCB-008,1800,BR0023,RM094,Verified
CUST000024,Kavya Pandey,19-11-1995,30,Male,kavya.pandey33@gmail.com,-8872852698,Ludhiana,Punjab,101773,Freelancer,9264682.64,Recurring Deposit,ACC6141226746,05-08-2012,3689340.14,890,No,Axis Bank,Private Sector,Mumbai,1993,Tier-1,UTIB0002911,AXISINBB,SCB-005,5000,BR0005,RM086,Verified
CUST000025,Meera Bhat,07-03-1961,65,Female,meera.bhat52@outlook.com,-9381183392,Lucknow,Uttar Pradesh,233470,Teacher,1161462,Fixed Deposit,ACC4877520294,26-09-2016,4551020.35,718,No,Indian Bank,Public Sector,Chennai,1907,Tier-2,IDIB0002884,IDIBBINN,SCB-015,6000,BR0026,RM071,Under Review
CUST000026,Aarav Iyer,09-11-1968,57,Female,aarav.iyer57@rediffmail.com,-9901796803,Surat,Gujarat,395003,Freelancer,4795079.52,Current,ACC3829742424,23-08-2019,5421269.14,629,No,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0000382,SBININBB,SCB-001,22542,BR0033,RM085,Verified
CUST000027,Isabella Reddy,27-01-1971,55,Male,isabella.reddy4@gmail.com,-8051590615,Bangalore,Karnataka,598216,Sales Executive,8515408.42,Savings,ACC7250964836,17-12-2016,8425868.1,503,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0006866,HDFCINBB,SCB-002,7821,BR0046,RM090,Verified
CUST000028,Preeti Chopra,21-11-1971,54,Male,preeti.chopra55@yahoo.com,-7755427444,Nagpur,Maharashtra,943170,Consultant,5237422.57,Savings,ACC3394039673,23-04-2013,2894247.76,305,Yes,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0006971,SBININBB,SCB-001,22542,BR0030,RM018,Verified
CUST000029,Sachin Johnson,22-02-2000,26,Female,sachin.johnson93@hotmail.com,-8832837505,Patna,Bihar,970914,Freelancer,4525626.49,Current,ACC7333678472,10-05-2023,733144.42,753,No,Bank of Baroda,Public Sector,Vadodara,1908,Tier-1,BARB0002342,BARBINBB,SCB-006,9500,BR0049,RM032,Verified
CUST000030,Ramesh Jones,23-06-1993,32,Male,ramesh.jones37@yahoo.com,-8167007422,Patna,Bihar,452161,Accountant,8943105.11,Savings,ACC1594312071,14-05-2015,9691648.46,379,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0000093,HDFCINBB,SCB-002,7821,BR0025,RM089,Verified
CUST000031,Ananya Williams,06-10-1955,70,Female,ananya.williams54@gmail.com,-7888346849,Kolkata,West Bengal,973349,Government Employee,3968030.91,Recurring Deposit,ACC7767538527,22-04-2019,1757941.16,855,No,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0002226,ICICINBB,SCB-003,6523,BR0001,RM046,Verified
CUST000032,Rajesh Jones,05-08-1987,38,Female,rajesh.jones29@rediffmail.com,-7942408676,Nagpur,Maharashtra,386193,Government Employee,4918142.9,Fixed Deposit,ACC1116402431,27-01-2022,975998.79,859,No,Punjab National Bank,Public Sector,New Delhi,1894,Tier-1,PUNB0003290,PUNBINBB,SCB-004,10000,BR0009,RM060,Verified
CUST000033,Sneha Patel,05-01-1984,42,Female,sneha.patel98@rediffmail.com,-8195102973,Jaipur,Rajasthan,302001,Government Employee,2612442.73,Savings,ACC3019952485,05-05-2017,2686107.77,634,Yes,Yes Bank,Private Sector,Mumbai,2004,Tier-2,YESB0000908,YESBINBB,SCB-012,1198,BR0023,RM029,Verified
CUST000034,Arjun Jones,13-10-1952,73,Male,arjun.jones20@yahoo.com,-7542114873,Delhi,Delhi,596564,Manager,1250167.73,Current,ACC2584392711,19-07-2015,205618.2,320,Yes,Bank of Baroda,Public Sector,Vadodara,1908,Tier-1,BARB0007258,BARBINBB,SCB-006,9500,BR0050,RM021,Under Review
CUST000035,Rajesh Kumar,21-04-1952,74,Female,rajesh.kumar92@yahoo.com,-7326402283,Ghaziabad,Uttar Pradesh,720859,Consultant,8326047.74,Current,ACC8612747444,30-12-2016,6383702.78,684,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0006621,HDFCINBB,SCB-002,7821,BR0037,RM006,Verified
CUST000036,Divya Kapoor,31-03-1983,43,Male,divya.kapoor54@rediffmail.com,-7453285896,Indore,Madhya Pradesh,554582,Accountant,6399580.85,Fixed Deposit,ACC4037867512,19-07-2011,737865.73,649,No,IndusInd Bank,Private Sector,Pune,1994,Tier-2,INDB0002071,INDBINBB,SCB-009,2606,BR0012,RM094,Verified
CUST000037,Olivia Smith,13-04-1998,28,Female,olivia.smith32@gmail.com,-8197987601,Jaipur,Rajasthan,302001,Teacher,312646,Recurring Deposit,ACC6922713963,04-11-2020,5241162.9,574,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0007802,ICICINBB,SCB-003,6523,BR0032,RM042,Verified
CUST000038,Sneha Chopra,31-10-1981,44,Female,sneha.chopra2@hotmail.com,-7820581015,Kolkata,West Bengal,189771,Teacher,1148329,Fixed Deposit,ACC8352307139,18-10-2015,7877883.32,582,No,IDBI Bank,Public Sector,Mumbai,1964,Tier-2,IBKL0002146,IBKLINBB,SCB-013,1900,BR0002,RM012,Verified
CUST000039,Vijay Joshi,30-10-1971,54,Female,vijay.joshi71@hotmail.com,-8476426663,Nagpur,Maharashtra,546173,Consultant,5557838.11,Salary,ACC8313706299,13-11-2016,4508907.52,677,No,Canara Bank,Public Sector,Bangalore,1906,Tier-1,CNRB0009825,CNRBINBB,SCB-007,10456,BR0020,RM033,Pending
CUST000040,Riya Kumar,23-04-1978,48,Male,riya.kumar28@rediffmail.com,-8187556771,Kolkata,West Bengal,859782,Sales Executive,9768877.39,Recurring Deposit,ACC7858164010,06-09-2012,1537169.22,489,Yes,Kotak Mahindra Bank,Private Sector,Mumbai,2003,Tier-1,KKBK0002465,KKBKINBB,SCB-008,1800,BR0013,RM038,Verified
CUST000041,Riya Rao,12-02-1977,49,Female,riya.rao6@gmail.com,-9376658569,Pune,Maharashtra,406327,Consultant,9447605.39,Fixed Deposit,ACC9642614082,26-04-2010,1809811.25,429,No,Axis Bank,Private Sector,Mumbai,1993,Tier-1,UTIB0006690,AXISINBB,SCB-005,5000,BR0031,RM062,Verified
CUST000042,Mohit Reddy,11-08-1954,71,Male,mohit.reddy9@rediffmail.com,-9112035318,Pune,Maharashtra,177680,Sales Executive,6338923.58,Savings,ACC1651662547,31-08-2015,2151773.84,789,No,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0001946,SBININBB,SCB-001,22542,BR0006,RM032,Verified
CUST000043,Rahul Kapoor,01-04-1970,56,Female,rahul.kapoor76@rediffmail.com,-8311598058,Indore,Madhya Pradesh,696251,Sales Executive,715075.41,Savings,ACC6201313620,20-09-2021,99585.18,753,Yes,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0002854,SBININBB,SCB-001,22542,BR0011,RM031,Verified
CUST000044,Sneha Kapoor,17-01-1964,62,Female,sneha.kapoor5@yahoo.com,-8237400972,Bangalore,Karnataka,841296,Lawyer,7065517.07,Fixed Deposit,ACC9895649328,22-01-2010,6596897.01,781,Yes,South Indian Bank,Private Sector,Thrissur,1929,Tier-2,SIBL0006716,SIBLINBB,SCB-019,950,BR0017,RM081,Verified
CUST000045,Sophia Johnson,21-02-1988,38,Female,sophia.johnson19@gmail.com,-7256143348,Kolkata,West Bengal,273982,Lawyer,5999035.09,Recurring Deposit,ACC9251459094,29-07-2012,3060549.7,452,No,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0003401,SBININBB,SCB-001,22542,BR0008,RM060,Verified
CUST000046,Rajesh Williams,04-06-1974,52,Male,rajesh.williams77@gmail.com,-8855548899,Nagpur,Maharashtra,870214,Accountant,6084690.77,Savings,ACC1392245997,23-03-2021,3245146.88,748,Yes,Bank of India,Public Sector,Mumbai,1906,Tier-1,BKID0005229,BKIDINBB,SCB-011,5100,BR0049,RM087,Verified
CUST000047,Ramesh Saxena,19-09-1965,60,Female,ramesh.saxena24@hotmail.com,-8872111655,Delhi,Delhi,765620,Retired,927837,Fixed Deposit,ACC6789448659,21-07-2020,1997818.23,752,No,Kotak Mahindra Bank,Private Sector,Mumbai,2003,Tier-1,KKBK0003833,KKBKINBB,SCB-008,1800,BR0021,RM086,Verified
CUST000048,Rohan Davis,04-08-1979,46,Male,rohan.davis52@hotmail.com,-7157612900,Pune,Maharashtra,576919,Doctor,5277175,Salary,ACC8613035386,27-03-2019,3476741.39,595,Yes,Union Bank of India,Public Sector,Mumbai,1919,Tier-1,UBIN0001921,UBININBB,SCB-010,8700,BR0043,RM070,Verified
CUST000049,Sachin Pandey,30-10-1966,59,Female,sachin.pandey57@gmail.com,-7874275897,Delhi,Delhi,380028,Freelancer,1414410.7,Salary,ACC8293928340,18-08-2021,1649966.39,810,Yes,Union Bank of India,Public Sector,Mumbai,1919,Tier-1,UBIN0005927,UBININBB,SCB-010,8700,BR0002,RM081,Verified
CUST000050,William Garcia,17-03-1964,62,Female,william.garcia12@yahoo.com,-7487311714,Ahmedabad,Gujarat,380001,Doctor,3217618,Current,ACC8372755146,20-12-2016,2519216.9,865,No,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0001187,HDFCINBB,SCB-002,7821,BR0027,RM062,Verified
CUST000051,John Joshi,16-06-1999,26,Male,john.joshi18@gmail.com,-8186473470,Bhopal,Madhya Pradesh,910208,Government Employee,3477967.4,Recurring Deposit,ACC5305985001,30-03-2013,3854684.35,820,No,Punjab National Bank,Public Sector,New Delhi,1894,Tier-1,PUNB0000183,PUNBINBB,SCB-004,10000,BR0038,RM075,Verified
CUST000052,Emma Davis,23-01-1990,36,Female,emma.davis98@hotmail.com,-8620104764,Hyderabad,Telangana,577463,Accountant,8711664.63,Current,ACC7750819485,30-01-2022,1960167.82,640,Yes,Axis Bank,Private Sector,Mumbai,1993,Tier-1,UTIB0000782,AXISINBB,SCB-005,5000,BR0050,RM053,Verified
CUST000053,Aditya Reddy,15-03-1984,42,Female,aditya.reddy5@yahoo.com,-9157323965,Visakhapatnam,Andhra Pradesh,718849,Accountant,8712639.1,Fixed Deposit,ACC9205284543,29-08-2018,8329747.68,455,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0006177,ICICINBB,SCB-003,6523,BR0047,RM019,Verified
CUST000054,Kiran Davis,17-09-1956,69,Female,kiran.davis80@rediffmail.com,-9791027095,Hyderabad,Telangana,184216,Accountant,8541132.41,Recurring Deposit,ACC8556573246,13-07-2020,9575534.67,571,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0006544,ICICINBB,SCB-003,6523,BR0040,RM009,Pending
CUST000055,Amit Smith,30-05-1970,56,Male,amit.smith91@gmail.com,-8905584775,Surat,Gujarat,395003,Consultant,3078724.87,Savings,ACC5492496998,11-01-2012,784701.96,400,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0006079,ICICINBB,SCB-003,6523,BR0019,RM046,Verified
CUST000056,Swati Pandey,28-11-1971,54,Male,swati.pandey23@gmail.com,-9617747190,Hyderabad,Telangana,501126,Sales Executive,6869369.65,Fixed Deposit,ACC1614685938,30-11-2021,4748561.43,484,No,Punjab National Bank,Public Sector,New Delhi,1894,Tier-1,PUNB0002970,PUNBINBB,SCB-004,10000,BR0041,RM033,Verified
CUST000057,Sachin Nair,28-09-1991,34,Male,sachin.nair57@outlook.com,-9523601161,Mumbai,Maharashtra,413685,Manager,9624847.24,Salary,ACC2297602688,14-06-2016,10961226.45,461,No,Bank of India,Public Sector,Mumbai,1906,Tier-1,BKID0006112,BKIDINBB,SCB-011,5100,BR0031,RM014,Verified
CUST000058,Amit Verma,16-03-1982,44,Male,amit.verma85@rediffmail.com,-8178884185,Ghaziabad,Uttar Pradesh,108491,Sales Executive,8666865.89,Savings,ACC8495457335,22-11-2022,9597803.67,602,No,Canara Bank,Public Sector,Bangalore,1906,Tier-1,CNRB0006531,CNRBINBB,SCB-007,10456,BR0050,RM030,Verified
CUST000059,William Garcia,25-08-1969,56,Female,william.garcia13@gmail.com,-8326856517,Kanpur,Uttar Pradesh,926918,Retired,813895,Salary,ACC4145461251,07-04-2014,159615.53,440,Yes,Kotak Mahindra Bank,Private Sector,Mumbai,2003,Tier-1,KKBK0003772,KKBKINBB,SCB-008,1800,BR0019,RM042,Verified
CUST000060,Kiran Shah,09-11-1961,64,Male,kiran.shah65@outlook.com,-7706712831,Kolkata,West Bengal,369452,Retired,432248,Salary,ACC5789617427,05-02-2022,9764403.1,674,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0003704,HDFCINBB,SCB-002,7821,BR0010,RM097,Verified
CUST000061,Riya Davis,01-01-2000,26,Male,riya.davis34@hotmail.com,-7530809485,Nagpur,Maharashtra,576877,Accountant,6767544.41,Salary,ACC7805633786,16-03-2018,3292313.96,704,No,Bank of Baroda,Public Sector,Vadodara,1908,Tier-1,BARB0005090,BARBINBB,SCB-006,9500,BR0007,RM087,Under Review
CUST000062,Riya Chopra,14-05-2000,26,Female,riya.chopra9@rediffmail.com,-8297896812,Mumbai,Maharashtra,780776,Government Employee,1272758.25,Savings,ACC5064162365,11-05-2017,1316588.63,526,No,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0005144,SBININBB,SCB-001,22542,BR0032,RM015,Verified
CUST000063,Rohan Joshi,04-03-1962,64,Female,rohan.joshi76@yahoo.com,-8781915390,Vadodara,Gujarat,390001,Doctor,5746238,Recurring Deposit,ACC9381721143,19-09-2018,5712603.63,853,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0004092,HDFCINBB,SCB-002,7821,BR0045,RM048,Verified
CUST000064,Neha Mishra,08-03-1971,55,Male,neha.mishra83@outlook.com,-7260060570,Bhopal,Madhya Pradesh,517479,Lawyer,1995308.59,Savings,ACC8834841054,19-02-2018,1269412.87,676,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0007179,ICICINBB,SCB-003,6523,BR0043,RM028,Verified
CUST000065,William Sharma,03-12-1979,46,Male,william.sharma9@hotmail.com,-7889734037,Delhi,Delhi,714867,Teacher,562048,Current,ACC5307145891,19-06-2015,3256205,878,Yes,Kotak Mahindra Bank,Private Sector,Mumbai,2003,Tier-1,KKBK0001313,KKBKINBB,SCB-008,1800,BR0009,RM070,Verified
CUST000066,Suresh Garcia,12-11-1959,66,Male,suresh.garcia76@outlook.com,-7067779155,Pune,Maharashtra,282710,Lawyer,637702.3,Fixed Deposit,ACC3259520140,31-07-2010,545505.44,666,Yes,Bank of India,Public Sector,Mumbai,1906,Tier-1,BKID0006900,BKIDINBB,SCB-011,5100,BR0031,RM058,Verified
CUST000067,Swati Malhotra,14-10-1959,66,Female,swati.malhotra85@hotmail.com,-8295492318,Ghaziabad,Uttar Pradesh,580292,Manager,9644578.69,Savings,ACC9583864766,20-02-2020,8983356.74,344,No,Central Bank of India,Public Sector,Mumbai,1911,Tier-2,CBIN0004198,CBININBB,SCB-016,4600,BR0028,RM088,Verified
CUST000068,Rohan Chopra,05-08-1956,69,Male,rohan.chopra17@outlook.com,-9681423134,Bhopal,Madhya Pradesh,763829,Sales Executive,5537761.57,Salary,ACC6561543484,24-10-2011,719944.07,451,No,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0004802,SBININBB,SCB-001,22542,BR0007,RM090,Verified
CUST000069,Rahul Davis,16-04-1969,57,Female,rahul.davis44@rediffmail.com,-8712533006,Vadodara,Gujarat,390001,Consultant,1059448.09,Fixed Deposit,ACC6389710636,25-08-2019,446830.52,533,Yes,Yes Bank,Private Sector,Mumbai,2004,Tier-2,YESB0005253,YESBINBB,SCB-012,1198,BR0044,RM061,Verified
CUST000070,Arjun Singh,13-05-1958,68,Male,arjun.singh72@gmail.com,-9518848237,Bangalore,Karnataka,688866,Freelancer,3376902.3,Savings,ACC7059376953,08-09-2019,480352.09,681,No,Kotak Mahindra Bank,Private Sector,Mumbai,2003,Tier-1,KKBK0008737,KKBKINBB,SCB-008,1800,BR0047,RM007,Verified
CUST000071,Vijay Bhat,19-07-1981,44,Male,vijay.bhat85@rediffmail.com,-7963124262,Surat,Gujarat,395003,Doctor,3025130,Recurring Deposit,ACC2578662692,28-04-2012,2675835.63,517,No,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0004208,SBININBB,SCB-001,22542,BR0037,RM029,Verified
CUST000072,Nikhil Davis,13-12-1999,26,Male,nikhil.davis24@outlook.com,-8327079013,Vadodara,Gujarat,390001,Accountant,180325.2,Current,ACC2721355673,04-08-2010,194208.64,573,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0004766,ICICINBB,SCB-003,6523,BR0048,RM082,Pending
CUST000073,Vivaan Singh,20-04-1969,57,Male,vivaan.singh48@outlook.com,-8393213804,Patna,Bihar,914571,Sales Executive,6010690.87,Savings,ACC1668210614,09-06-2018,3318637.36,649,Yes,ICICI Bank,Private Sector,Mumbai,1994,Tier-1,ICIC0002612,ICICINBB,SCB-003,6523,BR0044,RM011,Pending
CUST000074,Ramesh Mishra,28-07-1993,32,Male,ramesh.mishra97@hotmail.com,-7488842379,Indore,Madhya Pradesh,461939,Government Employee,1215590.95,Recurring Deposit,ACC8160279830,14-08-2023,770604.09,579,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0009901,HDFCINBB,SCB-002,7821,BR0015,RM051,Verified
CUST000075,William Patel,04-05-1968,58,Female,william.patel38@outlook.com,-7515328763,Mumbai,Maharashtra,108105,Retired,1041736,Current,ACC5849815676,05-10-2016,2053622.79,440,Yes,Bank of India,Public Sector,Mumbai,1906,Tier-1,BKID0007210,BKIDINBB,SCB-011,5100,BR0033,RM072,Verified
CUST000076,Divya Singh,18-10-1953,72,Female,divya.singh74@rediffmail.com,-9462732799,Nagpur,Maharashtra,524068,Consultant,6444599.69,Salary,ACC5789633176,14-10-2019,2993232.24,379,Yes,HDFC Bank,Private Sector,Mumbai,1994,Tier-1,HDFC0005519,HDFCINBB,SCB-002,7821,BR0021,RM022,Verified
CUST000077,Isabella Mishra,27-11-1957,68,Female,isabella.mishra76@rediffmail.com,-9250401910,Kanpur,Uttar Pradesh,182467,Government Employee,8720781.23,Salary,ACC6246612046,18-10-2019,1766889.88,549,Yes,Yes Bank,Private Sector,Mumbai,2004,Tier-2,YESB0005659,YESBINBB,SCB-012,1198,BR0005,RM066,Pending
CUST000078,Rahul Malhotra,25-05-1967,59,Male,rahul.malhotra14@yahoo.com,-8099375056,Patna,Bihar,306854,Businessman,8504989,Savings,ACC7417183769,02-11-2017,4458858.79,451,No,State Bank of India,Public Sector,Mumbai,1955,Tier-1,SBIN0005822,SBININBB,SCB-001,22542,BR0044,RM073,Verified
CUST000079,Isabella Reddy,18-07-1963,62,Male,isabella.reddy39@outlook.com,-9540128421,Lucknow,Uttar Pradesh,158900,Accountant,5132488.43,Salary,ACC7278136169,12-11-2019,1966042.51,752,Yes,Canara Bank,Public Sector,Bangalore,1906,Tier-1,CNRB0003167,CNRBINBB,SCB-007,10456,BR0004,RM048,Verified
