loan_id,customer_id,loan_type,principal_amount,interest_rate_pct,tenure_months,emi_amount,disbursement_date,paid_emis,outstanding_balance,loan_status,late_payment_count,collateral_type,application_channel,processing_fee,insurance_taken,co_applicant,foreclosure_flag,npa_flag,last_payment_date,bank_name,bank_type,bank_tier,sanctioned_by_branch,loan_account_no,loan_approval_date,rbi_classification,disbursement_mode,loan_purpose,swift_code
LN0000021,CUST008755,Home Loan,7855756.9,11.54,48,205102.39,12-02-2015,2,7528433.7,Closed,0,Gold,Online,118199.63,No,No,No,No,21-10-2023,State Bank of India,Public Sector,Tier-1,SBIN0000245,LA2009778896,10-02-2015,Standard,RTGS,Purchase,SBININBB
LN0000022,CUST003057,Home Loan,2733123.97,11.41,24,127905.88,13-09-2016,6,2049842.98,Under Review,2,Gold,Online,32046.21,Yes,No,,No,17-02-2023,State Bank of India,Public Sector,Tier-1,SBIN0001256,LA9771756378,05-09-2016,Standard,NEFT,Construction,SBININBB
LN0000023,CUST002385,Home Loan,5257110.15,10.52,48,134650.57,11-06-2019,7,4490448.25,Active,2,Vehicle,Mobile App,29999.91,No,Yes,Yes,No,30-04-2023,Bank of India,Public Sector,Tier-1,BKID0007186,LA4737234518,30-05-2019,Standard,RTGS,Renovation,BKIDINBB
LN0000024,CUST008295,Education Loan,1101468.27,11.27,84,19016.55,19-02-2020,67,222916.2,Under Review,7,Vehicle,DSA,18428.18,No,No,,No,12-08-2023,Union Bank of India,Public Sector,Tier-1,UBIN0000717,LA9847847794,11-02-2020,Standard,IMPS,Professional Course,UBININBB
LN0000025,CUST007903,Home Loan,9178360.78,7.39,240,73324.13,19-09-2021,129,4244991.86,Closed,0,Vehicle,Referral,130565.15,Yes,Yes,,No,12-04-2023,Kotak Mahindra Bank,Private Sector,Tier-1,KKBK0009870,LA5864714586,13-09-2021,Standard,RTGS,Renovation,KKBKINBB
LN0000026,CUST005189,Gold Loan,2372808.5,13.08,36,80040.76,14-10-2022,30,395468.08,Under Review,10,Gold,Branch,38796.31,Yes,No,,No,02-11-2023,State Bank of India,Public Sector,Tier-1,SBIN0002126,LA4267441631,29-09-2022,Standard,Direct Credit,Personal Need,SBININBB
LN0000027,CUST008755,Home Loan,7966115.78,15.01,60,189555.16,11-09-2018,32,3717520.7,Defaulted,8,Property,Referral,91809.61,Yes,Yes,No,Yes,28-12-2023,State Bank of India,Public Sector,Tier-1,SBIN0007844,LA1770531899,04-09-2018,Sub-standard,NEFT,Purchase,SBININBB
LN0000028,CUST000869,Education Loan,1430532.26,13.07,180,18165.64,07-04-2022,29,1200057.62,Under Review,10,Vehicle,Referral,8407.18,No,No,Yes,No,16-11-2023,Bank of Baroda,Public Sector,Tier-1,BARB0001252,LA8969771702,01-04-2022,Standard,IMPS,Postgraduate,BARBINBB
LN0000029,CUST004691,Car Loan,900766.62,6.53,84,13388.96,05-07-2019,0,900766.62,Active,0,Property,Referral,6727.21,Yes,Yes,,No,21-02-2023,State Bank of India,Public Sector,Tier-1,SBIN0008109,LA9986356936,22-06-2019,Standard,IMPS,Used Car,SBININBB
LN0000030,CUST000843,Business Loan,3368880.62,11.37,84,58340.92,18-03-2022,69,601585.83,Active,2,Vehicle,Mobile App,55145.99,No,Yes,Yes,No,02-05-2023,Axis Bank,Private Sector,Tier-1,UTIB0007267,LA7426284193,17-03-2022,Standard,IMPS,Expansion,AXISINBB
LN0000031,CUST002175,Home Loan,6312795.72,18.27,24,315984.83,26-05-2020,1,6049762.56,Defaulted,1,,Mobile App,75238.1,No,Yes,,Yes,12-07-2023,ICICI Bank,Private Sector,Tier-1,ICIC0009035,LA9621542110,16-05-2020,Loss,IMPS,Construction,ICICINBB
LN0000032,CUST009777,Business Loan,4592505.95,13.3,36,155404.12,12-09-2020,1,4464936.34,Under Review,0,Vehicle,Referral,62700.55,Yes,No,,No,19-10-2023,Canara Bank,Public Sector,Tier-1,CNRB0008632,LA2265611670,03-09-2020,Standard,IMPS,Expansion,CNRBINBB
LN0000033,CUST003255,Education Loan,1598763.95,16.94,240,23377.76,26-08-2016,52,1252365.09,Under Review,10,,Online,16441.86,Yes,Yes,Yes,No,26-04-2023,HDFC Bank,Private Sector,Tier-1,HDFC0008871,LA4962591967,22-08-2016,Standard,Direct Credit,Undergraduate,HDFCINBB
LN0000034,CUST005675,Education Loan,7036585.64,11.68,24,330185.97,18-09-2021,12,3518292.82,Under Review,5,Fixed Deposit,Mobile App,85968.91,Yes,Yes,Yes,No,21-12-2023,Canara Bank,Public Sector,Tier-1,CNRB0000885,LA1795915658,05-09-2021,Standard,IMPS,Overseas Study,CNRBINBB
LN0000035,CUST000479,Education Loan,1700753.4,14.64,120,27065.36,29-05-2016,1,1686580.45,Under Review,0,Fixed Deposit,Online,9826.47,No,No,No,No,06-08-2023,Bank of Baroda,Public Sector,Tier-1,BARB0007967,LA7922118344,18-05-2016,Standard,IMPS,Undergraduate,BARBINBB
LN0000036,CUST001654,Home Loan,2345281.57,15.2,84,45519.89,04-02-2019,18,1842721.23,Defaulted,0,,Mobile App,30751.73,Yes,No,Yes,Yes,13-07-2023,HDFC Bank,Private Sector,Tier-1,HDFC0003336,LA2609512918,31-01-2019,Standard,RTGS,Construction,HDFCINBB
LN0000037,CUST007660,Personal Loan,4708788.62,7.52,12,408565.82,26-06-2019,3,3531591.46,Closed,1,,Mobile App,90971.93,Yes,No,,No,12-11-2023,HDFC Bank,Private Sector,Tier-1,HDFC0004997,LA2903619046,23-06-2019,Standard,Direct Credit,Travel,HDFCINBB
LN0000038,CUST002341,Business Loan,2087438.71,16.23,180,30993.62,24-12-2018,156,278325.16,Closed,8,Gold,Online,11603.29,No,Yes,Yes,No,17-02-2023,IndusInd Bank,Private Sector,Tier-2,INDB0002012,LA1694363554,13-12-2018,Standard,IMPS,Equipment Purchase,INDBINBB
LN0000039,CUST000428,Education Loan,1798262.03,11.87,180,21432,12-04-2015,8,1718339.27,Closed,1,Fixed Deposit,Referral,29752.25,No,Yes,No,No,04-12-2023,State Bank of India,Public Sector,Tier-1,SBIN0000588,LA7000833729,29-03-2015,Standard,RTGS,Overseas Study,SBININBB
LN0000040,CUST003212,Car Loan,7392963.73,7.01,36,228307.06,28-01-2018,19,3491121.76,Under Review,8,Vehicle,DSA,55209.85,Yes,No,,No,17-12-2023,Axis Bank,Private Sector,Tier-1,UTIB0007435,LA6261204788,24-01-2018,Standard,NEFT,New Car,AXISINBB
LN0000041,CUST000732,Home Loan,1825575,10.48,48,46723.26,12-10-2015,45,114098.44,Closed,10,Vehicle,Branch,21106.91,Yes,No,No,No,15-03-2023,HDFC Bank,Private Sector,Tier-1,HDFC0008175,LA3738444093,27-09-2015,Standard,NEFT,Renovation,HDFCINBB
LN0000042,CUST000921,Car Loan,7747662.2,14.34,12,696880.31,19-10-2018,12,0,Active,8,Gold,Online,91439.52,No,No,,No,11-11-2023,Canara Bank,Public Sector,Tier-1,CNRB0004555,LA7958232473,16-10-2018,Standard,Direct Credit,Commercial Vehicle,CNRBINBB
LN0000043,CUST008248,Business Loan,1492010.13,16.35,84,29932.59,03-04-2022,20,1136769.62,Closed,3,Fixed Deposit,DSA,28400.42,No,Yes,No,No,15-05-2023,Kotak Mahindra Bank,Private Sector,Tier-1,KKBK0004922,LA3810585017,20-03-2022,Standard,NEFT,Working Capital,KKBKINBB
LN0000044,CUST004082,Personal Loan,7578793.4,9.18,180,77682.81,15-12-2016,106,3115726.18,Closed,11,Fixed Deposit,Online,57973.94,No,No,No,No,05-03-2023,IndusInd Bank,Private Sector,Tier-2,INDB0004573,LA8128867305,30-11-2016,Standard,Direct Credit,Debt Consolidation,INDBINBB
LN0000045,CUST009644,Car Loan,7534558.8,15.49,36,262999.53,18-11-2021,2,7115972.2,Active,1,,Branch,117054.8,No,Yes,Yes,No,27-03-2023,State Bank of India,Public Sector,Tier-1,SBIN0008116,LA5188617916,09-11-2021,Standard,NEFT,Commercial Vehicle,SBININBB
LN0000046,CUST000064,Home Loan,9999395.32,9.18,240,91127.97,26-04-2019,184,2333192.24,Under Review,5,Fixed Deposit,Mobile App,192655.01,Yes,Yes,Yes,No,22-02-2023,ICICI Bank,Private Sector,Tier-1,ICIC0006303,LA9088522005,26-04-2019,Standard,Cheque,Purchase,ICICINBB
LN0000047,CUST003193,Home Loan,5026703.41,7.59,36,156569.59,23-01-2016,13,3211504.96,Under Review,3,Gold,Mobile App,69989.42,Yes,No,Yes,No,15-10-2023,Axis Bank,Private Sector,Tier-1,UTIB0003678,LA4578629066,15-01-2016,Standard,RTGS,Plot+Construction,AXISINBB
LN0000048,CUST001976,Personal Loan,2627001.85,7.46,180,24292.96,25-12-2021,99,1182150.83,Closed,6,Gold,DSA,50829.52,No,Yes,,No,11-04-2023,State Bank of India,Public Sector,Tier-1,SBIN0003022,LA5795309610,16-12-2021,Standard,Cheque,Education,SBININBB
LN0000049,CUST002647,Home Loan,9352308.99,10.63,36,304546.5,26-12-2021,8,7274018.1,Under Review,4,Vehicle,Online,154174.53,No,Yes,,No,02-07-2023,HDFC Bank,Private Sector,Tier-1,HDFC0000857,LA2184342358,17-12-2021,Standard,IMPS,Purchase,HDFCINBB
LN0000050,CUST009831,Home Loan,9322045.76,10.57,120,126152.69,01-02-2015,15,8156790.04,Closed,7,Property,Referral,66680.4,No,No,,No,29-11-2023,Union Bank of India,Public Sector,Tier-1,UBIN0008873,LA2318724174,21-01-2015,Standard,IMPS,Purchase,UBININBB
LN0000051,CUST001182,Home Loan,1558924.61,12.44,240,17645.68,09-12-2020,171,448190.83,Defaulted,2,Vehicle,Referral,8044.33,Yes,No,,Yes,16-06-2023,Punjab National Bank,Public Sector,Tier-1,PUNB0009974,LA4598398110,08-12-2020,Doubtful,IMPS,Renovation,PUNBINBB
LN0000052,CUST007937,Personal Loan,4828874.96,14.84,12,435481.61,02-10-2020,2,4024062.47,Under Review,0,Gold,Online,35860.33,No,No,No,No,08-01-2023,State Bank of India,Public Sector,Tier-1,SBIN0009683,LA7092047923,19-09-2020,Standard,RTGS,Medical,SBININBB
LN0000053,CUST004358,Business Loan,6023196.09,8.16,84,94359.68,17-03-2022,10,5306148.94,Closed,3,Fixed Deposit,Referral,99988.77,Yes,No,Yes,No,06-03-2023,Bank of Baroda,Public Sector,Tier-1,BARB0005587,LA8237290302,04-03-2022,Standard,Direct Credit,Trade Finance,BARBINBB
LN0000054,CUST002263,Personal Loan,9634397.34,15.42,24,469064.45,10-09-2018,8,6422931.56,Active,7,Property,Branch,90381.5,Yes,Yes,Yes,No,04-03-2023,ICICI Bank,Private Sector,Tier-1,ICIC0007005,LA3473774303,01-09-2018,Standard,NEFT,Medical,ICICINBB
LN0000055,CUST004812,Gold Loan,1486536.64,8.69,120,18582.33,05-04-2016,19,1251168.34,Defaulted,2,,Referral,8170.96,No,Yes,No,Yes,21-10-2023,IDBI Bank,Public Sector,Tier-2,IBKL0009066,LA7324056155,23-03-2016,Sub-standard,Cheque,Agriculture,IBKLINBB
LN0000056,CUST003425,Education Loan,7563430.95,12.32,24,357168.27,26-02-2023,12,3781715.48,Active,9,Gold,Branch,93980.41,No,No,No,No,17-07-2023,IDBI Bank,Public Sector,Tier-2,IBKL0008762,LA1771064049,17-02-2023,Standard,Cheque,Overseas Study,IBKLINBB
LN0000057,CUST008137,Home Loan,6898340.52,15.99,84,136975.99,13-05-2016,55,2381569.94,Under Review,3,Property,Branch,69946.39,Yes,Yes,No,No,23-06-2023,Kotak Mahindra Bank,Private Sector,Tier-1,KKBK0009382,LA5841309241,06-05-2016,Standard,Direct Credit,Renovation,KKBKINBB
LN0000058,CUST006192,Personal Loan,3021900.5,8.32,180,29439.87,11-04-2022,77,1729198.62,Under Review,12,,Mobile App,39770.02,No,Yes,Yes,No,01-03-2023,Canara Bank,Public Sector,Tier-1,CNRB0002664,LA9293356860,09-04-2022,Standard,Cheque,Debt Consolidation,CNRBINBB
LN0000059,CUST001344,Car Loan,4947089.54,13.04,240,58099.93,29-04-2023,60,3710317.16,Defaulted,11,Gold,Mobile App,71161.44,Yes,No,Yes,Yes,05-10-2023,Kotak Mahindra Bank,Private Sector,Tier-1,KKBK0003904,LA3119586460,23-04-2023,Sub-standard,RTGS,New Car,KKBKINBB
LN0000060,CUST005859,Home Loan,4408830.08,13.42,36,149444.38,29-05-2019,15,2571817.55,Closed,8,Gold,Mobile App,77951.07,Yes,No,No,No,06-02-2023,ICICI Bank,Private Sector,Tier-1,ICIC0004599,LA3671126096,27-05-2019,Standard,IMPS,Purchase,ICICINBB
LN0000061,CUST006369,Home Loan,9111965.69,17.79,24,453982.68,28-06-2021,8,6074643.79,Active,5,Property,Mobile App,69842.79,No,Yes,No,No,11-01-2023,State Bank of India,Public Sector,Tier-1,SBIN0004095,LA2333316022,21-06-2021,Standard,Direct Credit,Renovation,SBININBB
LN0000062,CUST008277,Business Loan,7757891.93,14.64,12,698897.05,01-01-2018,7,3232454.97,Closed,1,Vehicle,Referral,128292.86,Yes,Yes,No,No,07-04-2023,Indian Bank,Public Sector,Tier-2,IDIB0005531,LA4780837605,28-12-2017,Standard,Direct Credit,Trade Finance,IDIBBINN
LN0000063,CUST008929,Business Loan,1543448.66,7.49,12,133898.49,14-07-2020,5,900345.05,Active,2,Property,DSA,12182.91,Yes,No,Yes,No,10-06-2023,Bank of Baroda,Public Sector,Tier-1,BARB0000633,LA8551769976,02-07-2020,Standard,Direct Credit,Expansion,BARBINBB
LN0000064,CUST005947,Home Loan,7989430.76,16.69,180,121206.66,18-11-2015,76,4616115.55,Active,0,Gold,DSA,75721.94,No,No,Yes,No,14-12-2023,State Bank of India,Public Sector,Tier-1,SBIN0005927,LA9576709346,11-11-2015,Standard,IMPS,Renovation,SBININBB
LN0000065,CUST006624,Home Loan,2122037.75,12.45,36,70938.98,22-01-2022,9,1591528.31,Under Review,8,Vehicle,Branch,30114.92,Yes,No,No,No,23-02-2023,Union Bank of India,Public Sector,Tier-1,UBIN0009962,LA8824307263,11-01-2022,Standard,NEFT,Purchase,UBININBB
LN0000066,CUST001694,Business Loan,3672700.57,9.99,240,35418.03,08-06-2021,198,642722.6,Closed,0,Property,DSA,21655.63,No,Yes,No,No,29-11-2023,Canara Bank,Public Sector,Tier-1,CNRB0005029,LA7273219489,01-06-2021,Standard,Direct Credit,Expansion,CNRBINBB
LN0000067,CUST009883,Car Loan,9104488.29,18.3,36,330520.86,12-06-2018,10,6575463.76,Active,9,Fixed Deposit,DSA,167442.18,Yes,Yes,Yes,No,24-09-2023,ICICI Bank,Private Sector,Tier-1,ICIC0004334,LA6595182596,31-05-2018,Standard,RTGS,Commercial Vehicle,ICICINBB
LN0000068,CUST005839,Gold Loan,5759213.48,15.06,240,76092.17,15-12-2022,142,2351678.84,Defaulted,6,Vehicle,DSA,52719.09,No,No,,Yes,25-08-2023,Bank of Baroda,Public Sector,Tier-1,BARB0007582,LA3514638597,30-11-2022,Sub-standard,NEFT,Personal Need,BARBINBB
LN0000069,CUST008579,Education Loan,7352957.99,17.65,240,111502.42,05-05-2017,217,704658.47,Defaulted,1,Fixed Deposit,DSA,83895.21,Yes,Yes,No,Yes,08-08-2023,Canara Bank,Public Sector,Tier-1,CNRB0000146,LA9853548334,24-04-2017,Loss,Cheque,Undergraduate,CNRBINBB
LN0000070,CUST007687,Personal Loan,7660330.22,11.02,24,357102.57,30-09-2021,0,7660330.22,Under Review,0,Vehicle,Branch,62139.53,Yes,Yes,No,No,12-06-2023,IndusInd Bank,Private Sector,Tier-2,INDB0005878,LA7155843304,17-09-2021,Standard,Cheque,Home Renovation,INDBINBB
LN0000071,CUST009947,Home Loan,4324255.2,14.73,12,389749.26,03-11-2019,4,2882836.8,Active,2,Gold,Mobile App,79514.17,No,No,Yes,No,15-02-2023,Federal Bank,Private Sector,Tier-2,FDRL0009120,LA6611739822,02-11-2019,Standard,RTGS,Plot+Construction,FDRLINBB
LN0000072,CUST009539,Car Loan,2538697.24,16.32,12,230722.79,15-05-2023,2,2115581.03,Under Review,2,Fixed Deposit,Mobile App,17947.03,Yes,Yes,No,No,29-03-2023,Federal Bank,Private Sector,Tier-2,FDRL0000960,LA3000427638,07-05-2023,Standard,Direct Credit,New Car,FDRLINBB
LN0000073,CUST003263,Car Loan,8228565.08,16.97,60,204368.33,03-06-2021,21,5348567.3,Under Review,10,Fixed Deposit,DSA,129500.36,No,No,No,No,17-03-2023,Axis Bank,Private Sector,Tier-1,UTIB0004530,LA1782499042,20-05-2021,Standard,Direct Credit,Two-Wheeler,AXISINBB
LN0000074,CUST003102,Personal Loan,308513.31,17.89,36,11136.48,14-08-2016,28,68558.51,Closed,2,,Online,3863.32,No,No,Yes,No,01-08-2023,ICICI Bank,Private Sector,Tier-1,ICIC0001050,LA9043950197,13-08-2016,Standard,Cheque,Travel,ICICINBB
LN0000075,CUST007592,Gold Loan,6421652.5,7.58,12,557363.19,20-06-2016,1,5886514.79,Closed,0,Property,Online,68120.21,Yes,No,Yes,No,04-04-2023,Axis Bank,Private Sector,Tier-1,UTIB0004228,LA7945521589,06-06-2016,Standard,IMPS,Agriculture,AXISINBB
LN0000076,CUST002508,Gold Loan,5020056.66,13.76,48,136576.85,10-04-2017,25,2405443.82,Under Review,5,Vehicle,Online,83634.18,No,No,Yes,No,29-06-2023,Punjab National Bank,Public Sector,Tier-1,PUNB0008109,LA6480851601,26-03-2017,Standard,RTGS,Business,PUNBINBB
LN0000077,CUST009624,Gold Loan,6638702.9,12.82,24,315055.04,11-04-2022,20,1106450.48,Under Review,10,,Online,82545.29,Yes,No,Yes,No,01-03-2023,Bank of Baroda,Public Sector,Tier-1,BARB0002859,LA1852187993,06-04-2022,Standard,RTGS,Emergency,BARBINBB
LN0000078,CUST006498,Home Loan,3176303.15,16.7,36,112770.2,12-07-2018,20,1411690.29,Defaulted,2,Fixed Deposit,Mobile App,37283.73,Yes,No,No,Yes,22-02-2023,HDFC Bank,Private Sector,Tier-1,HDFC0003813,LA2402965393,12-07-2018,Loss,NEFT,Purchase,HDFCINBB
LN0000079,CUST001634,Personal Loan,563213.96,9.04,60,11702.33,11-06-2016,8,488118.77,Active,7,Vehicle,Online,4313.95,No,Yes,Yes,No,22-12-2023,Union Bank of India,Public Sector,Tier-1,UBIN0003019,LA8833412404,06-06-2016,Standard,Direct Credit,Debt Consolidation,UBININBB
LN0000080,CUST008652,Personal Loan,9565068.84,17.6,240,144681.04,11-02-2016,110,5181078.96,Active,9,Gold,Referral,133199.68,Yes,No,Yes,No,20-02-2023,State Bank of India,Public Sector,Tier-1,SBIN0009501,LA7377218954,29-01-2016,Standard,IMPS,Medical,SBININBB
LN0000081,CUST004758,Business Loan,9792641.32,8.08,24,443252.03,07-08-2016,10,5712374.1,Under Review,5,Gold,Branch,75076.35,No,Yes,Yes,No,26-10-2023,HDFC Bank,Private Sector,Tier-1,HDFC0009068,LA3886593356,23-07-2016,Standard,RTGS,Working Capital,HDFCINBB
LN0000082,CUST009939,Business Loan,2085555.03,9.01,180,21165.5,26-11-2017,170,115864.17,Defaulted,12,Vehicle,Mobile App,20536.22,Yes,No,No,Yes,09-02-2023,IndusInd Bank,Private Sector,Tier-2,INDB0004245,LA4782056480,16-11-2017,Doubtful,IMPS,Working Capital,INDBINBB
LN0000083,CUST006625,Education Loan,254478.02,13.58,36,8645.63,14-07-2022,1,247409.19,Active,1,Gold,DSA,1295.53,No,No,No,No,23-01-2023,ICICI Bank,Private Sector,Tier-1,ICIC0005790,LA7752413141,05-07-2022,Standard,Direct Credit,Undergraduate,ICICINBB
LN0000084,CUST000402,Personal Loan,7245768.91,9.23,60,151220.35,30-01-2017,0,7245768.91,Closed,0,Vehicle,Mobile App,143062.65,Yes,Yes,Yes,No,23-06-2023,IndusInd Bank,Private Sector,Tier-2,INDB0009840,LA1005938931,27-01-2017,Standard,RTGS,Wedding,INDBINBB
LN0000085,CUST004321,Home Loan,3892370.09,15.02,180,54530.44,25-01-2017,7,3741000.14,Under Review,3,,Mobile App,52408.62,Yes,Yes,Yes,No,07-07-2023,IndusInd Bank,Private Sector,Tier-2,INDB0001789,LA8632910650,21-01-2017,Standard,NEFT,Plot+Construction,INDBINBB
LN0000086,CUST001701,Education Loan,8816935.73,9.28,120,113029.67,26-10-2020,4,8523037.87,Defaulted,3,,Mobile App,92081.82,No,Yes,No,Yes,09-06-2023,Punjab National Bank,Public Sector,Tier-1,PUNB0001855,LA8556158800,19-10-2020,Doubtful,Direct Credit,Undergraduate,PUNBINBB
LN0000087,CUST000072,Gold Loan,9817728.56,12.83,24,465969.15,22-03-2018,5,7772368.44,Closed,4,Property,Online,140502.43,Yes,No,,No,02-10-2023,ICICI Bank,Private Sector,Tier-1,ICIC0003883,LA8541157255,16-03-2018,Standard,RTGS,Agriculture,ICICINBB
LN0000088,CUST003361,Gold Loan,6729132.11,10.5,36,218713.24,19-09-2016,30,1121522.02,Under Review,6,Fixed Deposit,Branch,93430.73,No,Yes,,No,04-04-2023,Bank of Baroda,Public Sector,Tier-1,BARB0009345,LA2575408015,06-09-2016,Standard,IMPS,Personal Need,BARBINBB
LN0000089,CUST002221,Home Loan,996832.42,17.47,84,20642.74,01-12-2021,19,771358.42,Active,0,,Mobile App,8543.83,No,Yes,No,No,12-10-2023,State Bank of India,Public Sector,Tier-1,SBIN0001170,LA1823376811,18-11-2021,Standard,Cheque,Renovation,SBININBB
